,land_latitude,land_longitude,landcoversMucCode,mosquito_latitude,mosquito_longitude,mosquitohabitatmapperLarvaeCount
Unnamed 9,33.436463,-86.763322,M91,33.436463,-86.763322,150.0
Unnamed 10,33.436463,-86.763322,M91,33.436463,-86.763322,15.0
Unnamed 11,33.436463,-86.763322,M91,33.436463,-86.763322,300.0
Unnamed 20,34.139151,-118.167036,,34.139151,-118.167036,5.0
Unnamed 21,34.139151,-118.167036,,34.139151,-118.167036,3.0
Unnamed 22,34.140053,-118.167049,,34.140053,-118.167049,1.0
Unnamed 25,34.140053,-118.167049,,34.140053,-118.167049,4.0
Unnamed 28,34.140053,-118.167049,,34.140053,-118.167049,2.0
Unnamed 51,47.793253,-122.241583,M3,47.793253,-122.241583,5.0
Unnamed 58,34.137368,-118.164843,M91,34.137368,-118.164843,2.0
Unnamed 62,34.137368,-118.164843,M91,34.137368,-118.164843,1.0
Unnamed 65,34.137368,-118.164843,M91,34.137368,-118.164843,1.0
Unnamed 66,34.137368,-118.164843,M91,34.137368,-118.164843,1.0
Unnamed 77,32.856874,-97.172549,,32.856874,-97.172549,1.0
Unnamed 79,32.871903,-97.151935,,32.871903,-97.151935,1.0
Unnamed 131,37.483239,-77.657826,,37.483239,-77.657826,13.0
Unnamed 134,30.301337,-97.888287,,30.301337,-97.888287,1.0
Unnamed 147,33.974154,-80.852775,,33.974154,-80.852775,2.0
Unnamed 190,26.340472,-80.104118,,26.340472,-80.104118,3.0
Unnamed 199,26.340472,-80.104118,,26.340472,-80.104118,7.0
Unnamed 219,42.079527,-71.177317,,42.079527,-71.177317,1.0
Unnamed 225,26.341375,-80.104111,,26.341375,-80.104111,2.0
Unnamed 244,33.097771,-96.739024,,33.097771,-96.739024,2.0
Unnamed 254,33.097771,-96.739024,,33.097771,-96.739024,4.0
Unnamed 260,13.76262,100.670453,,13.76262,100.670453,1.0
Unnamed 263,17.056059,99.94535,,17.056059,99.94535,20.0
Unnamed 269,32.903059,-96.79316,,32.903059,-96.79316,1.0
Unnamed 281,16.168331,100.575113,M12,16.168331,100.575113,9.0
Unnamed 282,16.168331,100.575113,M12,16.168331,100.575113,9.0
Unnamed 293,33.095067,-96.739093,,33.095067,-96.739093,2.0
Unnamed 327,44.063102,-121.353092,,44.063102,-121.353092,1.0
Unnamed 328,44.063102,-121.353092,,44.063102,-121.353092,2.0
Unnamed 349,16.799523,100.25372,M91,16.799523,100.25372,20.0
Unnamed 354,16.780741,100.22076,,16.780741,100.22076,20.0
Unnamed 364,16.220988,99.918813,,16.220988,99.918813,2.0
Unnamed 366,17.640008,100.103876,,17.640008,100.103876,56.0
Unnamed 376,33.437363,-86.762244,,33.437363,-86.762244,20.0
Unnamed 377,33.437363,-86.762244,,33.437363,-86.762244,10.0
Unnamed 378,33.437363,-86.762244,,33.437363,-86.762244,40.0
Unnamed 379,33.437363,-86.762244,,33.437363,-86.762244,100.0
Unnamed 381,17.029568,100.172572,M93,17.029568,100.172572,2.0
Unnamed 382,17.029568,100.172572,M93,17.029568,100.172572,2.0
Unnamed 394,41.764478,-88.180179,M93,41.764478,-88.180179,1.0
Unnamed 405,29.572823,-98.661361,M1,29.572823,-98.661361,1.0
Unnamed 430,16.802437,100.21996,,16.802437,100.21996,2.0
Unnamed 456,33.803406,-84.35667,,33.803406,-84.35667,4.0
Unnamed 471,16.953292,100.233137,,16.953292,100.233137,20.0
Unnamed 477,33.807101,-118.087964,,33.807101,-118.087964,23.0
Unnamed 483,34.144582,-118.164942,M02,34.144582,-118.164942,3.0
